band,type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
radius,radius,35.2643896827549,19.471220634491143,9.91648053598172,4.9807312372884045,2.4931754978010434,1.2471475580453544,0.6236177110305863,0.31181434698984495,0.15590785996451606,0.07795401586370035,0.03897701880765388,0.019489,0.009744,0.004872,0.002436,0.001218,0.000609,0.000305,0.000152,7.6e-05
u,overlap,1495,1495,1501,1573,1544,1838,1235,445,183,105,66,49,43,40,38,35,34,34,34,34
u,htm,448340,161102,111847,48363,13926,4890,1894,768,143,93,62,48,42,39,37,35,34,34,34,34
g,overlap,2147,2147,2143,2114,2113,2196,1659,614,231,156,111,81,65,56,54,53,52,52,52,52
g,htm,630501,232235,161612,65032,18230,6444,2642,1002,192,129,99,76,61,54,53,53,52,52,52,52
r,overlap,4806,4806,4999,5017,4939,5018,3905,1348,608,300,212,156,140,124,120,119,118,118,118,118
r,htm,1470656,541216,372544,153380,44559,15676,6108,2308,443,254,183,148,132,124,119,118,118,118,118,118
i,overlap,4894,4894,4849,4674,5011,4989,4415,1602,698,389,255,196,171,159,151,148,147,146,146,145
i,htm,1481105,541584,374612,159261,46497,16636,6894,2697,514,313,229,187,167,155,150,148,146,146,146,146
z,overlap,2971,2971,2837,3006,2841,2832,2222,822,360,204,135,100,93,88,84,83,83,83,83,83
z,htm,858615,331053,232945,80289,22889,8514,3503,1413,266,160,117,92,90,87,83,83,83,83,83,83
y,overlap,3687,3687,3671,3616,3552,3127,2586,940,422,222,143,117,107,99,96,96,94,94,93,93
y,htm,1048021,402298,277700,108438,29856,10986,4183,1557,316,177,129,117,105,98,96,95,94,94,93,93
total,overlap,20000,20000,20000,20000,20000,20000,16022,5771,2502,1376,922,699,619,566,543,534,528,527,526,525
total,htm,5937238,2209488,1531260,614763,175957,63146,25224,9745,1874,1126,819,668,597,557,538,532,527,526,526,525
